City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,vila franca do campo,37.7167,-25.4333,17.23,88,100,3.82,PT,1685484095
139,trincomalee,8.5711,81.2335,26.63,83,85,5.18,LK,1685484456
140,sola,-13.8833,167.55,26.87,72,79,9.54,VU,1685484456
141,gorontalo,0.5412,123.0595,24.02,92,36,1.04,ID,1685484457
142,slonim,53.0867,25.3219,9.11,78,5,2.73,BY,1685484457
143,happy valley-goose bay,53.3168,-60.3315,8.93,90,100,1.4,CA,1685484424
144,atafu village,-8.5421,-172.5159,28.58,71,57,4.23,TK,1685484165
145,halifax,44.6453,-63.5724,19.94,50,40,11.32,CA,1685484240
146,mount isa,-20.7333,139.5,5.87,65,89,1.03,AU,1685484075
147,katsuura,35.1333,140.3,16.49,92,100,9.24,JP,1685484459
148,nova sintra,14.8667,-24.7167,20.76,81,100,7.19,CV,1685484221
149,khorinsk,52.1657,109.7726,13.11,40,100,5.58,RU,1685484460
150,preveza,38.95,20.75,18.95,88,40,4.12,GR,1685484460
151,kayangel,8.0823,134.7173,28.66,74,86,2.31,PW,1685484270
152,bejaia,36.7559,5.0843,17.58,82,90,1.39,DZ,1685484461
153,hasaki,35.7333,140.8333,18.22,75,100,7.85,JP,1685484336
154,blackmans bay,-43.0167,147.3167,15.07,76,100,3.68,AU,1685484151
155,gidam,18.9833,81.4,25.71,68,98,0.88,IN,1685484461
156,barcelos,41.5388,-8.6151,19.36,97,93,1.03,PT,1685484462
157,boa vista,2.8197,-60.6733,29.99,62,40,2.06,BR,1685484223
158,lihue,21.9789,-159.3672,26.58,72,20,5.72,US,1685484121
159,manismata,-2.4667,111.0333,23.08,97,76,1.29,ID,1685484462
160,kapa'a,22.0752,-159.319,26.99,80,18,4.47,US,1685484162
161,san patricio,28.017,-97.5169,31.92,58,83,5.67,US,1685484266
162,arno,60.1167,18.6333,9.88,57,47,6.22,SE,1685484463
163,sungai penuh,-2.0833,101.3833,18.64,97,98,0.31,ID,1685484463
164,badger,64.8,-147.5333,8.62,92,100,4.63,US,1685484272
165,port alfred,-33.5906,26.891,13.43,93,100,0.89,ZA,1685484170
166,smithers,54.7804,-127.1743,14.02,30,93,3.82,CA,1685484469
167,sao paulo de olivenca,-3.3783,-68.8725,24.96,94,91,1.11,BR,1685484470
168,saint-philippe,-21.3585,55.7679,20.77,79,38,2.11,RE,1685484114
169,bataipora,-22.2953,-53.2711,16.78,99,100,1.8,BR,1685484470
170,plastun,44.7561,136.2939,12.75,58,17,2.88,RU,1685484375
171,ulsteinvik,62.3432,5.8487,12.21,88,76,6.26,NO,1685484470
172,aykhal,66.0,111.5,0.12,74,55,7.0,RU,1685484208
173,ponnani,10.767,75.9252,25.62,83,72,1.42,IN,1685484471
174,angaur state,6.906,134.13,28.57,75,89,2.06,PW,1685484471
175,tsiombe,-25.3,45.4833,19.96,80,2,4.1,MG,1685484255
176,rongelap,11.1635,166.8941,26.12,85,100,6.05,MH,1685484228
177,cockburn town,21.4612,-71.1419,27.52,81,99,5.88,TC,1685484369
178,vilyuchinsk,52.9306,158.4028,8.15,94,100,10.53,RU,1685484174
179,lisala,2.15,21.5167,21.73,96,81,0.53,CD,1685484472
180,sinabang,2.4803,96.3801,26.07,84,79,1.57,ID,1685484179
181,boyolangu,-8.1181,111.8935,24.28,89,100,2.13,ID,1685484473
182,nguigmi,14.2495,13.1092,29.4,49,17,3.82,NE,1685484473
183,ceerigaabo,10.6162,47.368,20.85,65,76,0.7,SO,1685484473
184,tra vinh,9.9347,106.3453,25.27,92,85,2.13,VN,1685484473
185,thompson,55.7435,-97.8558,20.09,60,75,5.66,CA,1685484159
186,walvis bay,-22.9575,14.5053,12.53,76,0,0.51,NA,1685484162
187,krasnyy chikoy,50.3643,108.7512,12.08,74,100,1.21,RU,1685484474
188,mundri,-6.9558,111.71,22.53,89,88,1.8,ID,1685484474
189,iskateley,67.6803,53.1512,9.39,79,100,2.27,RU,1685484174
190,roccella ionica,38.322,16.4009,18.63,81,43,1.41,IT,1685484475
191,south hedland,-20.4089,118.5983,12.96,50,0,3.09,AU,1685484165
192,aasiaat,68.7098,-52.8699,1.29,88,100,8.81,GL,1685484247
193,micheweni,-4.9667,39.8333,25.24,83,28,4.95,TZ,1685484345
194,iranshahr,27.2025,60.6848,31.1,31,72,3.98,IR,1685484476
195,amga,60.8953,131.9608,14.1,52,73,0.87,RU,1685484476
196,macusani,-14.0833,-70.4333,5.45,33,0,3.23,PE,1685484476
197,qujing,25.4833,103.7833,16.51,93,68,1.64,CN,1685484455
198,coquimbo,-29.9533,-71.3436,14.85,88,75,1.54,CL,1685484430
199,balikpapan,-1.2675,116.8289,26.55,94,40,2.57,ID,1685484477
200,kijang,35.2442,129.2139,17.27,79,97,4.37,KR,1685484478
201,puerto colombia,10.9878,-74.9547,28.05,82,100,3.98,CO,1685484478
202,xanxere,-26.8769,-52.4042,17.06,94,100,1.41,BR,1685484225
203,sao felix do xingu,-6.6447,-51.995,25.61,75,81,1.43,BR,1685484478
204,tahoua,14.8888,5.2692,30.13,43,92,6.28,NE,1685484479
205,posto fiscal rolim de moura,-13.0833,-62.2667,25.78,72,90,1.37,BR,1685484435
206,issenye,-2.0,34.3333,18.85,76,81,1.85,TZ,1685484479
207,eyl,7.9803,49.8164,28.24,81,21,8.0,SO,1685484192
208,keflavik,64.0049,-22.5624,7.24,81,100,6.17,IS,1685484160
209,torres,-29.3353,-49.7269,17.13,83,100,4.0,BR,1685484280
210,tokmok,42.8417,75.3016,14.78,34,22,2.35,KG,1685484480
211,anchorage,61.2181,-149.9003,11.07,68,100,5.66,US,1685484312
212,cuencame de ceniceros,24.8711,-103.6964,30.04,15,0,3.13,MX,1685484481
213,timmins,48.4669,-81.3331,29.72,23,8,3.6,CA,1685484481
214,kyelang,32.5833,77.0333,-2.0,87,93,1.97,IN,1685484481
215,barra de santo antonio,-9.4047,-35.5072,25.6,83,14,4.07,BR,1685484180
216,waingapu,-9.6567,120.2641,23.73,88,100,4.3,ID,1685484482
217,port lincoln,-34.7333,135.8667,16.29,72,100,6.28,AU,1685484271
218,sumberpucung,-8.1586,112.4829,20.68,95,62,1.1,ID,1685484482
219,hithadhoo,-0.6,73.0833,28.54,75,99,6.04,MV,1685484038
220,sandnessjoen,66.0217,12.6316,8.29,94,75,5.14,NO,1685484338
221,puerto aysen,-45.4,-72.7,12.02,94,100,3.6,CL,1685484246
222,whitehorse,60.7161,-135.0538,11.12,42,75,5.66,CA,1685484251
223,kailua-kona,19.6406,-155.9956,28.49,80,91,2.24,US,1685484198
224,khanpur,28.6453,70.6567,27.56,46,53,1.49,PK,1685484364
225,haiku-pauwela,20.9219,-156.3051,25.58,75,93,6.76,US,1685484171
226,klyuchi,52.2667,79.1667,13.2,48,2,2.24,RU,1685484167
227,ribeira grande,38.5167,-28.7,18.21,83,6,4.47,PT,1685484159
228,wotho,10.1657,166.0102,27.03,78,97,3.64,MH,1685484485
229,la passe,45.5549,-0.8967,21.13,74,99,6.64,FR,1685484197
230,segre,47.6833,-0.8667,18.08,72,67,6.11,FR,1685484485
231,ontario,34.0633,-117.6509,24.25,68,75,7.2,US,1685484402
232,mitsamiouli,-11.3847,43.2844,26.69,75,22,1.6,KM,1685484160
233,hengchun,22.0042,120.7439,27.79,80,34,1.63,TW,1685484486
234,papao,-17.75,-149.55,27.59,86,64,5.14,PF,1685484277
235,souillac,-20.5167,57.5167,24.21,73,40,3.6,MU,1685484275
236,inirida,3.8653,-67.9239,23.52,98,100,0.72,CO,1685484487
237,ebaye,8.7748,167.7392,25.01,88,0,2.57,MH,1685484487
238,pukhrayan,26.2333,79.85,32.15,34,0,3.01,IN,1685484488
239,cidreira,-30.1811,-50.2056,19.54,78,100,7.33,BR,1685484340
240,hatillo,18.4863,-66.8254,29.5,71,99,1.34,PR,1685484488
241,ulubey,40.8721,37.7588,14.07,91,64,2.58,TR,1685484489
242,ciudad lazaro cardenas,17.9583,-102.2,31.26,58,0,6.08,MX,1685484386
243,new norfolk,-42.7826,147.0587,15.72,74,100,3.73,AU,1685484243
244,guayaramerin,-10.8368,-65.3614,26.09,72,84,1.35,BO,1685484489
245,mancio lima,-7.6142,-72.8958,24.96,96,43,1.38,BR,1685484490
246,masina,-4.3836,15.3914,24.79,78,60,0.52,CD,1685484490
247,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,81,100,7.0,RU,1685484232
248,pisco,-13.7,-76.2167,22.03,68,20,5.66,PE,1685484267
249,alice springs,-23.7,133.8833,2.75,87,1,1.64,AU,1685484113
250,vallenar,-28.5708,-70.7581,20.67,37,100,1.31,CL,1685484491
251,bonthe,7.5264,-12.505,27.02,84,98,2.78,SL,1685484491
252,salmon arm,50.6998,-119.3024,28.57,31,24,2.06,CA,1685484393
253,greymouth,-42.4667,171.2,9.72,87,98,1.94,NZ,1685484456
254,al hudaydah,14.7978,42.9545,31.67,48,94,3.24,YE,1685484492
255,avarua,-21.2078,-159.775,25.03,50,75,6.17,CK,1685484196
256,kristiansund,63.1115,7.732,10.03,93,100,12.35,NO,1685484490
257,georgetown,5.4112,100.3354,27.97,80,20,1.54,MY,1685484190
258,barreirinhas,-2.7469,-42.8264,25.62,86,66,2.89,BR,1685484493
259,mokhsogollokh,61.4681,128.9203,13.44,52,3,2.35,RU,1685484493
260,port macquarie,-31.4333,152.9167,9.38,59,3,1.98,AU,1685484236
261,santa terezinha,-29.9002,-50.0904,19.06,80,100,6.63,BR,1685484493
262,hamilton,39.1834,-84.5333,29.35,50,40,5.66,US,1685484229
263,darzab,35.9774,65.3783,17.28,19,0,1.69,AF,1685484494
264,as sulayyil,20.4607,45.5779,29.32,39,43,7.24,SA,1685484494
265,argo,37.6333,22.7333,19.32,80,10,0.61,GR,1685484371
266,tari,12.4086,4.4914,29.4,51,100,4.49,NG,1685484494
267,astrakhan,46.3497,48.0408,20.93,94,0,3.13,RU,1685484495
268,cooper's town,26.8667,-77.5167,25.98,79,100,6.03,BS,1685484495
269,at taj,24.2049,23.2857,29.78,14,52,5.35,LY,1685484213
270,ta`u,-14.2336,-169.5144,27.63,80,90,9.47,AS,1685484295
271,asau,46.4333,26.4,15.51,71,58,1.61,RO,1685484496
272,kalkaman,51.9525,76.0211,15.47,56,65,2.19,KZ,1685484496
273,havre,49.5833,0.3333,12.33,82,100,8.75,FR,1685484496
274,palikir - national government center,6.9248,158.1611,29.41,79,100,2.06,FM,1685484497
275,lepsy,46.235,78.9456,15.49,40,5,4.81,KZ,1685484497
276,takoradi,4.8845,-1.7554,27.07,81,45,3.13,GH,1685484163
277,el obeid,13.1842,30.2167,28.89,39,88,2.78,SD,1685484497
278,nantucket,41.2835,-70.0995,14.08,80,0,4.63,US,1685484498
279,kandi,11.1342,2.9386,29.94,56,97,2.41,BJ,1685484498
280,gisborne,-38.6533,178.0042,14.65,70,1,3.17,NZ,1685484498
281,luganville,-15.5333,167.1667,26.45,69,100,4.5,VU,1685484499
282,katsuren-haebaru,26.3369,127.8719,28.01,94,100,7.8,JP,1685484499
283,bardai,11.65,7.2333,29.87,46,82,6.3,NG,1685484294
284,benguela,-12.5763,13.4055,21.04,85,90,2.01,AO,1685484452
285,hawaiian paradise park,19.5933,-154.9731,26.13,82,100,2.57,US,1685484173
286,malanje,-9.5402,16.341,19.0,56,9,1.3,AO,1685484500
287,jwaneng,-24.6004,24.7303,11.98,59,3,4.01,BW,1685484500
288,masuguru,-11.3667,38.4167,20.74,82,99,1.22,TZ,1685484319
289,chimbote,-9.0853,-78.5783,23.21,75,19,4.2,PE,1685484386
290,palu,-0.8917,119.8707,24.0,94,61,1.25,ID,1685484506
291,masterton,-40.9597,175.6575,14.38,69,86,0.86,NZ,1685484506
292,saint-pierre,-21.3393,55.4781,20.82,68,0,3.6,RE,1685484172
293,guerrero negro,27.9769,-114.0611,19.58,55,1,8.44,MX,1685484251
294,kruisfontein,-34.0033,24.7314,13.27,88,100,2.07,ZA,1685484481
295,akureyri,65.6835,-18.0878,8.96,61,20,3.09,IS,1685484258
296,shetpe,44.1667,52.1167,28.19,13,86,10.56,KZ,1685484507
297,hilo,19.7297,-155.09,27.93,80,100,2.57,US,1685484014
298,prado,-17.3411,-39.2208,22.33,85,9,4.71,BR,1685484408
299,tolanaro,-25.0319,46.9987,21.04,88,40,2.06,MG,1685484299
300,padang,-0.9492,100.3543,24.94,90,100,1.6,ID,1685484508
301,saudarkrokur,65.7461,-19.6394,8.99,69,44,5.17,IS,1685484136
302,sirsa,29.5333,75.0167,22.93,71,98,1.26,IN,1685484509
303,fortuna,40.5982,-124.1573,15.52,81,100,5.66,US,1685484210
304,freetown,8.484,-13.2299,27.15,85,100,3.74,SL,1685484485
305,tommot,58.9564,126.2925,11.06,78,93,0.74,RU,1685484510
306,bidur,4.1167,101.2833,23.7,92,100,1.02,MY,1685484510
307,doksy,50.5647,14.6555,11.48,71,0,1.76,CZ,1685484510
308,borujen,31.9652,51.2873,17.81,38,64,1.55,IR,1685484510
309,qarauyl,48.9451,79.255,10.15,59,14,2.07,KZ,1685484512
310,skovorodino,53.9833,123.9167,7.97,89,86,2.14,RU,1685484512
311,ondangwa,-17.9167,15.95,19.39,30,9,4.09,NA,1685484512
312,barclayville,4.6797,-8.2339,25.42,91,79,2.05,LR,1685484512
313,okhotsk,59.3833,143.3,9.38,66,99,0.67,RU,1685484369
314,st. john's,47.5649,-52.7093,9.88,76,75,4.12,CA,1685483939
315,deogarh,21.5333,84.7333,26.52,74,78,0.81,IN,1685484513
316,minas de marcona,-15.2119,-75.1103,15.91,75,16,5.51,PE,1685484258
317,northam,51.0333,-4.2167,13.55,78,0,6.36,GB,1685484431
318,yuzhno-kurilsk,44.0306,145.8556,9.61,72,9,3.09,RU,1685484237
319,kavaratti,10.5669,72.642,29.46,74,80,1.41,IN,1685484514
320,san antonio de pale,-1.4014,5.6325,26.26,79,82,4.55,GQ,1685484185
321,san jose del cabo,23.0589,-109.6977,32.0,50,0,7.2,MX,1685484453
322,dhidhdhoo,6.8833,73.1,28.93,74,77,3.76,MV,1685484515
323,nijar,36.9665,-2.206,18.7,83,75,1.54,ES,1685484515
324,peterhead,57.5058,-1.7981,11.36,89,21,2.83,GB,1685484516
325,nova vicosa,-17.8919,-39.3719,23.94,74,3,6.25,BR,1685484263
326,lively,46.4334,-81.1498,28.34,28,1,3.66,CA,1685484516
327,potchefstroom,-26.7167,27.1,13.17,82,81,3.57,ZA,1685484516
328,malango,-2.9627,119.9001,18.68,96,94,0.91,ID,1685484171
329,taksimo,56.3444,114.8794,8.04,61,5,0.78,RU,1685484498
330,nemuro,43.3236,145.575,8.94,83,1,4.34,JP,1685484152
331,messaad,34.1543,3.5031,19.26,49,100,7.29,DZ,1685484517
332,mar del plata,-38.0023,-57.5575,14.49,75,0,3.6,AR,1685484315
333,kenai,60.5544,-151.2583,11.68,80,68,5.22,US,1685484235
334,kargasok,59.0556,80.8572,12.35,53,7,2.39,RU,1685484501
335,susuman,62.7833,148.1667,12.79,30,17,0.24,RU,1685484169
336,lompoc,34.6391,-120.4579,19.32,74,100,4.92,US,1685484304
