City_ID,City,Lat,Lng,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
91,starodub,52.5844,32.7633,50.018,63,1,3.71,RU,2023-09-13 23:41:36
92,port mathurin,-19.6833,63.4167,72.14,72,90,5.83,MU,2023-09-13 23:41:37
93,ambodifotatra,-16.9833,49.85,73.472,84,68,6.56,MG,2023-09-13 23:41:37
94,alofi,-19.0595,-169.9187,80.492,61,40,6.17,NU,2023-09-13 23:41:37
95,saint joseph,39.7686,-94.8466,79.55600000000001,38,40,2.68,US,2023-09-13 23:40:53
96,bethel,41.3712,-73.414,72.752,83,20,0.0,US,2023-09-13 23:41:09
97,west island,-12.1568,96.8225,76.982,83,40,5.66,CC,2023-09-13 23:41:38
98,six-fours-les-plages,43.0938,5.84,71.456,75,4,4.49,FR,2023-09-13 23:41:38
99,yellowknife,62.456,-114.3525,64.418,69,100,3.6,CA,2023-09-13 23:41:39
100,matoury,4.8483,-52.3317,80.564,83,0,1.54,GF,2023-09-13 23:41:39
101,brookings,44.3114,-96.7984,77.342,39,0,5.14,US,2023-09-13 23:41:40
102,sinabang,2.4803,96.3801,79.03399999999999,86,100,3.63,ID,2023-09-13 23:41:40
103,villa regina,-39.1,-67.0667,58.982,15,100,1.79,AR,2023-09-13 23:41:40
104,dudinka,69.4058,86.1778,51.620000000000005,91,100,9.05,RU,2023-09-13 23:41:41
105,selkirk,50.1436,-96.8845,69.94399999999999,48,71,2.24,CA,2023-09-13 23:41:41
106,el rosario,24.2556,-107.1828,89.708,65,77,3.55,MX,2023-09-13 23:41:41
107,punta arenas,-53.15,-70.9167,39.308,75,40,4.12,CL,2023-09-13 23:41:42
108,enewetak,11.3474,162.3373,84.146,77,75,7.76,MH,2023-09-13 23:41:42
109,nar'yan-mar,67.6713,53.087,57.902,86,90,8.98,RU,2023-09-13 23:41:42
110,kailua-kona,19.6406,-155.9956,87.764,70,40,5.14,US,2023-09-13 23:41:43
111,sucre,-19.0333,-65.2627,61.97,36,32,2.26,BO,2023-09-13 23:41:43
112,usakos,-22.0,15.6,64.814,20,0,1.42,,2023-09-13 23:41:43
113,belozersk,60.0326,37.7957,53.078,78,85,4.88,RU,2023-09-13 23:41:44
114,geraldton,-28.7667,114.6,55.814,88,75,0.51,AU,2023-09-13 23:41:44
115,kasempa,-13.4584,25.8338,62.906000000000006,69,0,2.64,ZM,2023-09-13 23:41:44
116,arkalyk,50.2486,66.9114,53.69,64,57,1.37,KZ,2023-09-13 23:41:45
117,lazaro cardenas,17.9583,-102.2,86.288,75,6,4.56,MX,2023-09-13 23:41:45
118,porto novo,6.4965,2.6036,75.938,91,85,2.22,BJ,2023-09-13 23:41:45
119,baiquan,47.5833,126.0833,59.540000000000006,62,20,4.55,CN,2023-09-13 23:41:46
120,villa gesell,-37.2639,-56.973,48.056,69,0,3.52,AR,2023-09-13 23:41:46
121,college,64.8569,-147.8028,59.072,58,75,1.54,US,2023-09-13 23:41:46
122,prattville,32.464,-86.4597,87.314,59,75,3.6,US,2023-09-13 23:41:47
123,ust-nera,64.5667,143.2,39.992,93,100,1.51,RU,2023-09-13 23:41:47
